"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18575,-0.0044085,-0.060583,300.85,15.418,4.5862,0.26044,0,0,0,1,0.00074628,1e-05,0,5.236e-13,60181
-0.18355,-0.0045862,-0.010378,300.53,19.754,3.5862,-1.6454,0,0,0,1,0.00074575,1e-05,0,5.236e-13,60181
-0.18533,-0.037632,-0.01844,300.7,15.882,3.3383,-5.5642,0,0,0,1,0.00074418,1e-05,0,5.236e-13,60181
-0.18553,-0.041326,-0.04628,300.88,15.365,3.6815,-2.5654,0,0,0,1,0.00074378,1e-05,0,5.236e-13,60181
-0.18581,-0.030507,-0.046404,300.83,15.469,4.6245,-2.2972,0,0,0,1,0.00074208,1e-05,0,5.236e-13,60181
-0.18586,-0.044,-0.05965,300.97,15.239,2.9635,-2.0394,0,0,0,1,0.00074063,1e-05,0,5.236e-13,60181
-0.18562,-0.027536,-0.054177,300.9,15.38,4.3496,-1.5673,0,0,0,1,0.00073958,1e-05,0,5.236e-13,60181
-0.18313,-0.0064172,-0.010846,300.6,19.58,3.6919,-2.2443,0,0,0,1,0.00073601,1e-05,0,5.236e-13,48145
-0.18592,-0.063479,-0.014892,300.97,15.313,1.3887,-3.9426,0,0,0,1,0.00073433,1e-05,0,5.236e-13,60181
-0.18566,-0.0025993,-0.045616,300.81,15.681,6.235,0.38328,0,0,0,1,0.00073328,1e-05,0,5.236e-13,60181
-0.18593,-0.038359,-0.023326,300.82,15.734,3.6802,-5.0014,0,0,0,1,0.00073223,1e-05,0,5.236e-13,60181
-0.18533,-0.0097716,-0.029826,300.71,16.667,6.7501,-1.8887,0,0,0,1,0.00073157,1e-05,0,5.236e-13,60181
-0.18584,-0.03905,-0.020985,300.82,15.754,3.4409,-5.2273,0,0,0,1,0.00073105,1e-05,0,5.236e-13,60181
-0.18432,-0.01261,-0.022861,300.69,17.382,6.0226,-3.19,0,0,0,1,0.00072895,1e-05,0,5.236e-13,60181
-0.18587,-0.011532,-0.048455,300.9,15.547,5.7769,-0.65628,0,0,0,1,0.00072593,1e-05,0,5.236e-13,60181
-0.18535,-0.033806,-0.050406,301,15.363,4.1187,-2.0734,0,0,0,1,0.00072488,1e-05,0,5.236e-13,60181
-0.1857,-0.030623,-0.0061389,300.78,16.578,1.8209,-6.8832,0,0,0,1,0.00072107,1e-05,0,5.236e-13,60181
-0.18602,-0.032163,-0.04815,301.02,15.411,4.3645,-2.1951,0,0,0,1,0.00071963,1e-05,0,5.236e-13,60181
-0.18633,-0.030832,-0.049722,301.04,15.401,4.3762,-2.0216,0,0,0,1,0.00071753,1e-05,0,5.236e-13,60181
-0.18563,-0.0032045,-0.037201,300.86,16.1,6.8241,0.019181,0,0,0,1,0.00071687,1e-05,0,5.236e-13,60181
-0.18637,-0.051729,-0.024858,301.05,15.452,2.6223,-4.052,0,0,0,1,0.00071437,1e-05,0,5.236e-13,60181
-0.18592,-0.033197,-0.039732,301.01,15.506,4.6159,-3.0624,0,0,0,1,0.00071267,1e-05,0,5.236e-13,60181
-0.18652,-0.00097129,-0.071948,301.18,15.22,3.7274,0.15882,0,0,0,1,0.0007108,1e-05,0,5.236e-13,48145
-0.18381,5.702e-05,-0.0036784,300.78,20.43,1.333,0.0013975,0,0,0,1,0.00071038,1e-05,0,5.236e-13,48145
-0.18605,-0.055345,-0.0066261,301.07,15.451,1.2432,-4.8435,0,0,0,1,0.00071013,1e-05,0,5.236e-13,48145
-0.18539,-0.033053,-0.050113,301.1,15.358,4.1797,-2.0581,0,0,0,1,0.00071004,1e-05,0,5.236e-13,48145
-0.18608,-0.048024,-0.0497,301.19,15.212,3.0186,-2.4705,0,0,0,1,0.00070803,1e-05,0,5.236e-13,48145
-0.18506,-0.023394,-0.0027093,300.84,17.677,0.93969,-6.5048,0,0,0,1,0.00070794,1e-05,0,5.236e-13,60181
-0.18621,-0.0062643,-0.071206,301.23,15.199,3.7346,-0.09058,0,0,0,1,0.00070427,1e-05,0,5.236e-13,60181
-0.18586,-0.016276,-0.027832,300.92,16.513,6.1448,-3.3037,0,0,0,1,0.00070374,1e-05,0,5.236e-13,48145
-0.18496,-0.019602,-0.0035318,300.87,18.268,1.1589,-5.8941,0,0,0,1,0.00070164,1e-05,0,5.236e-13,60181
-0.18595,-0.025503,-0.065565,301.26,15.18,3.6434,-1.1156,0,0,0,1,0.00069954,1e-05,0,5.236e-13,48145
-0.18581,-0.0084555,-0.06836,301.26,15.211,3.8921,-0.13354,0,0,0,1,0.00069819,1e-05,0,5.236e-13,48145
-0.18607,-0.0034343,-0.036616,301,16.103,6.8282,-0.050732,0,0,0,1,0.00069752,1e-05,0,5.236e-13,48145
-0.18632,-0.061119,-0.025912,301.25,15.259,1.9673,-3.565,0,0,0,1,0.00069744,1e-05,0,5.236e-13,60181
-0.18633,-0.015851,-0.039076,301.06,15.771,6.2048,-1.8944,0,0,0,1,0.00069547,1e-05,0,5.236e-13,60181
-0.18633,-0.029933,-0.067462,301.33,15.175,3.3301,-1.3376,0,0,0,1,0.00069127,1e-05,0,5.236e-13,60181
-0.18641,-0.042126,-0.05583,301.34,15.184,3.2155,-2.0709,0,0,0,1,0.00068746,1e-05,0,5.236e-13,60181
-0.18672,-0.015403,-0.059657,301.29,15.329,4.447,-0.57743,0,0,0,1,0.00068693,1e-05,0,5.236e-13,60181
-0.18633,-0.065514,-0.0074115,301.34,15.238,0.86566,-3.9878,0,0,0,1,0.00068496,1e-05,0,5.236e-13,60181
-0.18604,-0.025564,-0.026273,301.12,16.111,5.0767,-4.4633,0,0,0,1,0.00068181,1e-05,0,5.236e-13,60181
-0.18563,-0.022117,-0.016206,301.09,17.009,4.2583,-5.4865,0,0,0,1,0.00067695,1e-05,0,5.236e-13,59995
